YMD,fatality
20150106,1
20150119,1
20150521,1
20150524,1
20150604,1
20150611,1
20150614,1
20150618,1
20150621,1
20150622,1
20150623,1
20150624,1
20150626,2
20150629,1
20150701,2
20150703,2
20150704,2
20150705,3
20150706,1
20150707,2
20150708,1
20150710,1
20150711,3
20150712,5
20150713,4
20150714,3
20150715,3
20150716,6
20150717,6
20150718,4
20150719,4
20150720,6
20150721,3
20150722,10
20150723,13
20150724,13
20150725,15
20150726,16
20150727,8
20150728,16
20150729,16
20150730,17
20150731,17
20150801,17
20150802,17
20150803,2
20150804,46
20150805,45
20150806,39
20150807,57
20150809,30
20150810,96
20150811,55
20150812,51
20150813,62
20150814,65
20150815,67
20150816,62
20150817,67
20150818,130
20150819,112
20150820,127
20150821,190
20150822,111
20150823,147
20150824,166
20150825,180
20150826,227
20150827,193
20150828,126
20150829,167
20150830,137
20150831,232
20150901,276
20150902,319
20150903,290
20150904,471
20150905,298
20150906,369
20150907,340
20150908,482
20150909,509
20150910,553
20150911,534
20150912,362
20150913,424
20150914,242
20150915,442
20150916,533
20150917,531
20150918,642
20150919,309
20150920,361
20150921,604
20150922,599
20150923,584
20150924,712
20150925,487
20150926,373
20150927,247
20150928,444
20150929,294
20150930,423
20151001,433
20151002,380
20151003,283
20151004,189
20151005,325
20151006,285
20151007,286
20151008,280
20151009,206
20151010,173
20151011,166
20151012,218
20151013,213
20151014,185
20151015,173
20151016,184
20151017,109
20151018,79
